Time,Charleville Mall (Unable to Reinstall Repaired Counter due to Roadworks 23.08.2023),Charleville Mall (Unable to Reinstall Repaired Counter due to Roadworks 23.08.2023) North Cyclist,Charleville Mall (Unable to Reinstall Repaired Counter due to Roadworks 23.08.2023) South Cyclist,Clontarf - James Larkin Rd,Clontarf - James Larkin Rd Cyclist West,Clontarf - James Larkin Rd Cyclist East,Clontarf - Pebble Beach Carpark,Clontarf - Pebble Beach Carpark Cyclist West,Clontarf - Pebble Beach Carpark Cyclist East,Drumcondra Cyclists Inbound (Not On Site - Roadworks) Cyclist,Drumcondra Cyclists Inbound (Not On Site - Roadworks) Cyclist West,Drumcondra Cyclists Inbound (Not On Site - Roadworks) Cyclist East,Drumcondra Cyclists Outbound (Not On Site - Roadworks),Drumcondra Cyclists Outbound (Not On Site - Roadworks) Cyclist East,Drumcondra Cyclists Outbound (Not On Site - Roadworks) Cyclist West,Griffith Avenue (Clare Rd Side),Griffith Avenue (Clare Rd Side) Cyclist South,Griffith Avenue (Clare Rd Side) Cyclist North,Griffith Avenue (Lane Side),Griffith Avenue (Lane Side) Cyclist South,Griffith Avenue (Lane Side) Cyclist North,Grove Road Totem,Grove Road Totem OUT,Grove Road Totem IN,North Strand Rd N/B Cyclist,North Strand Rd S/B,North Strand Rd S/B Cyclist IN,North Strand Rd S/B Cyclist OUT,Richmond Street Inbound,Richmond Street Inbound Cyclist South,Richmond Street Inbound Cyclist North,Richmond Street Outbound,Richmond Street Outbound Cyclist North,Richmond Street Outbound Cyclist South
01/01/2025 00:00,,,,3,3,0,7,6,1,,,,0,0,0,0,0,0,2,2,0,12,7,5,0,,,,9,0,9,5,0,5
01/01/2025 01:00,,,,2,2,0,2,2,0,,,,0,0,0,1,1,0,0,0,0,17,7,10,0,,,,1,0,1,1,0,1
01/01/2025 02:00,,,,0,0,0,1,0,1,,,,0,0,0,0,0,0,0,0,0,19,10,9,0,,,,3,0,3,15,0,15
01/01/2025 03:00,,,,0,0,0,1,0,1,,,,0,0,0,2,2,0,0,0,0,7,1,6,0,,,,3,0,3,12,0,12
01/01/2025 04:00,,,,0,0,0,1,0,1,,,,0,0,0,1,1,0,0,0,0,5,2,3,0,,,,1,0,1,6,0,6
01/01/2025 05:00,,,,1,1,0,2,1,1,,,,0,0,0,0,0,0,0,0,0,2,1,1,0,,,,7,0,7,4,1,3
01/01/2025 06:00,,,,1,1,0,2,1,1,,,,0,0,0,1,1,0,0,0,0,18,6,12,0,,,,6,0,6,5,0,5
01/01/2025 07:00,,,,6,1,5,7,2,5,,,,0,0,0,1,1,0,2,2,0,15,5,10,0,,,,6,0,6,3,0,3
01/01/2025 08:00,,,,10,2,8,13,3,10,,,,0,0,0,2,2,0,3,3,0,12,5,7,0,,,,6,0,6,3,0,3
01/01/2025 09:00,,,,10,3,7,23,7,16,,,,0,0,0,4,4,0,4,4,0,22,8,14,0,,,,15,0,15,6,0,6
01/01/2025 10:00,,,,45,14,31,50,16,34,,,,0,0,0,4,4,0,2,2,0,27,8,19,0,,,,15,0,15,11,0,11
