"","Month","Mean (per day)","Year"
"1","01",1053.12903225806,"2022"
"2","02",642.571428571429,"2022"
"3","03",1224.93548387097,"2022"
"4","04",1212.26666666667,"2022"
"5","05",1457.29032258065,"2022"
"6","06",1469.33333333333,"2022"
"7","07",1808.83870967742,"2022"
"8","08",1991.54838709677,"2022"
"9","09",1279.86666666667,"2022"
"10","10",1009.03225806452,"2022"
"11","11",882.2,"2022"
"12","12",486.548387096774,"2022"
"13","01",800.322580645161,"2023"
"14","02",1027.17857142857,"2023"
"15","03",854.741935483871,"2023"
"16","04",1151.13333333333,"2023"
"17","05",1782.48387096774,"2023"
"18","06",1998.73333333333,"2023"
"19","07",1298.41935483871,"2023"
"20","08",1518.90322580645,"2023"
"21","09",1528.33333333333,"2023"
"22","10",1208.32258064516,"2023"
"23","11",934.666666666667,"2023"
"24","12",638.354838709677,"2023"
"25","01",809.516129032258,"2024"
"26","02",1001.55172413793,"2024"
"27","03",939.322580645161,"2024"
"28","04",1215.86666666667,"2024"
"29","05",1648.70967741935,"2024"
"30","06",1546.4,"2024"
"31","07",1572.25806451613,"2024"
"32","08",1571.61290322581,"2024"
"33","09",1382.76666666667,"2024"
"34","10",1198.16129032258,"2024"
"35","11",992.8,"2024"
"36","12",733.967741935484,"2024"
