ObjectID,GlobalID,"I invite you to take part in my research study ""How are cycling practices shaped by cycling infrastructure? Insights from the Clontarf to City Centre cycleway"". Before you decide to take part, please take time to read the following information carefully. Ask questions if anything you read is not clear or if you would like more information.",I am a student at Trinity College Dublin undertaking research on cycling in Dublin as part of my dissertation in the Master of Science Smart & Sustainable Cities course. This survey aims to understand how people use the new Clontarf to City Centre cycleway and how it has influenced their cycling experience. I hope to then embed these insights into the wider academic discussion around cycling practices and perceptions in cities.,Taking part in this survey will involve answering questions about your cycling habits in general and your cycling practices on the Clontarf to City Centre cycleway specifically. Completing the survey is estimated to take 10-15 min. This survey will be open to participation until the 25th of June 2025.,"Participation is completely voluntary, and you have the right to withdraw at any time while taking the survey. All responses are anonymous. The collected data will be stored on Trinity College Dublin servers for the duration of my studies and be retained for 2 years before being deleted. Only myself and my supervisors will have access to this data. The results of this study will be used in my dissertation and may be used at student conferences in the future.","For any inquiries, please contact Emma Hegarty via e-mail hegartem@tcd.ie.",Which age bracket do you fall into?,Please select your gender.,Please select your ethnicity.,Please specify other.,What is your current employment status?,What is your highest educational attainment?,Does someone in your household own a car?,Do you own a bike?,Do you use bike sharing services like DublinBikes?,Have you used the Bike-To-Work scheme?,Do you usually start cycling trips from home?,Which Dublin district do you live in?,In which Dublin district do you usually start your cycling trips?,For which purposes do you usually cycle?,Please specify other.,What is your primary purpose for cycling?,Which Dublin district is your primary destination located in?,Are there bicycle parking facilities at your primary destination?,On how many days per week do you usually cycle?,For how long have you been cycling regularly?,Have you cycled regularly in the past?,"Is there a specfic reason you stopped cycling regularly and if yes, what is it?",Please specify other.,Do you use safety accessories when cycling?,Do you regularly maintain your bicycle?,Do you cycle with children under the age of 16?,"The Clontarf to City Centre cycleway stretches from Clontarf Road at the junction with Alfie Byrne Road to Amiens Street at the junction with Talbot Street, as seen in the map below.",Have you used the new Clontarf to City Centre cycleway as a cyclist?,On how many days per week do you use the new cycleway?,Did you cycle along this road before the cycleway was added?,"How has your sense of safety changed while cycling, since the introduction of the cycleway?","How has your perception of speed changed while cycling, since the introduction of the cycleway?","How has your level of stress changed while cycling, since the introduction of the cycleway?","How has your sense of safety changed while cycling, compared to your previous route?","How has your perception of speed changed while cycling, compared to your previous route?","How has your level of stress changed while cycling, compared to your previous route?",Which factors in the environment do you find most stressful while cycling?,Are there sections of the cycleway where you find it to be safer/more efficient to leave the cycleway or not follow the road rules for cyclists?,For which reasons do you leave the cycleway/break the rules?,Please specify other.,Number of Stops,Would you like to answer some additional questions on your cycling experience?,How does the section of your route on the Clontarf to Conolloy cycleway compare to sections not on the cycleway? How do you notice the transition from cycleway to shared road?,Have you noticed changes while driving a car along the new cycleway route?,Have you noticed changes while walking along the new cycleway route?,What are some changes you have noticed along the Clontarf to City Centre cycleway since its introduction?,"Your response is a valuable contribution to my study and will inform its understanding of cyclists and cycling practices in Dublin. If you have any questions or comments, please contact Emma Hegarty via e-mail hegartem@tcd.ie.",Thank you for your time and happy cycling!,CreationDate,Creator,EditDate,Editor,"Have you noticed the pedestrian traffic lights that are being trialled at the crossings to bus stops? If yes, do you think they are effective?",x,y
1,3f0c6161-bdf2-46f5-853c-beaf74bcb638,,,,,,5,man,white,,fullemp,4,2,yes,yes,yes,yes,6,,"work,shopping,hobby,social,leisure",,work,6,2,3,5,,,,2,1,1,,yes,0,more,5,5,0,,,,"car,intersection,cyclist,pedestrian,bus",no,,,1,yes,"Yes, it is a huge difference entering/leaving the cycleway.",1,1,Quieter roads? More cyclists using the cycleway route.,,,5/26/2025 9:39:54 AM,,5/26/2025 9:39:54 AM,,Yes,0,0
2,d8b3c121-e52c-43a1-8701-e9b5674180ca,,,,,,4,man,white,,na,4,2,yes,yes,no,no,,5,"multi-mode,leisure",,leisure,3,2,2,5,,,,0,1,0,,yes,2,more,5,4,0,,,,"car,intersection,cyclist,bus,pedestrian",no,,,1,yes,When you get to Connolly station if I continue cycling on instead of stopping I feel really stressed immediately & don't feel safe at all ,,,I've noticed more people seem to be cycling along the route,,,5/28/2025 2:55:57 AM,,5/28/2025 2:55:57 AM,,"I've only seen them once but they are a good size & visible from a bike, some of the normal bike lights can be small & sometimes difficult to see",0,0
3,569e0f4c-acb7-448c-8611-59d8595061c7,,,,,,3,man,white,,fullemp,4,2,yes,yes,yes,yes,5,,"work,leisure",,work,7,2,2,5,,,,"1,2",1,1,,yes,2,yes,5,1,1,,,,"car,bus,intersection,cyclist,pedestrian",yes,"cyclists,trafficlight",,1,yes,"Yes absolutely, particularly when cycling home via the north quays and around by Bus Aras which is very constrained for cyclists ",1,3,Fully segregated cycle route is the primary feature. Enhanced public realm and changing details at bus stops ,,,5/28/2025 12:44:43 PM,,5/28/2025 12:44:43 PM,,"Yes I  had noticed, i do not think they are effective ",0,0
4,46700852-672e-42ac-85c2-278d93972110,,,,,,2,woman,white,,fullemp,4,0,yes,yes,no,yes,1,,"work,hobby,social,leisure",,work,7,1,3,3,,,,"1,2,4",0,0,,yes,0,no,,,,,,,"car,bus,intersection,pedestrian,cyclist",unsure,"roadquality,pedestrians,trafficlight,roadside",,1,yes,,,,,,,5/28/2025 9:17:24 PM,,5/28/2025 9:17:24 PM,,,0,0
5,12c42678-b64c-4a82-844a-23798521c546,,,,,,3,woman,white,,fullemp,4,2,yes,no,yes,yes,6W,,"work,shopping,hobby,social,leisure",,leisure,3,2,3,5,,,,"1,2,3",1,0,,yes,2,yes,4,4,1,,,,"car,intersection,pedestrian,cyclist,bus",yes,"roadquality,trafficlight,roadside",,3,yes,"It has made the trip a lot safer, however the area outside Conolly still needs work. The lane ends abruptly and you are back out in the traffic with buses, taxis, cars and pedestrians. ",,3,,,,5/29/2025 1:12:52 PM,,5/29/2025 1:12:52 PM,,,0,0
6,89c8b59b-be77-4352-8495-dae636427d99,,,,,,5,man,white,,fullemp,4,3,yes,no,no,yes,3,,"work,leisure",,work,2,2,2,5,,,,"1,2,3,4",1,0,,yes,2,yes,5,4,1,,,,"car,cyclist,pedestrian,bus,intersection",no,,,1,yes,"Inbound - the transition at Connolly Station can be tricky due to the intersection with Talbot Street, lots of pedestrians waiting to cross, taxis pulling into the rank and buses.",0,,"Overall the route is a huge improvement but there are some conflicts that I think could have been managed better.  For example, inbound, there are lots of conflicts between cars and bikes at the various crossings/entrances from the DART station to Newcomen Bridge.  Outbound, the conflicts are on the stretch from Annesley Bridge to the Malahide Road Junction.  Having said that, I can get from home (near the corner of St Anne's Park) to Connolly Station without putting my bike's wheels on the roadway which is really fantastic and significantly safer than before.  I think everyone using the cycleway also has to remember that it is not a ""racetrack"" but a commuting route and everyone has to moderate their speed and behavior accordingly. ",,,5/31/2025 7:32:34 AM,,5/31/2025 7:32:34 AM,,"Yes, I have noticed them and frankly, I don't think they are effective.  I think warning signage and a yield system with pedestrians having priority would be a much better approach.  Most of the time there are no pedestrians waiting to cross so the red for cyclists on the cycleway is futile.",0,0
7,c19e9c3c-0643-496c-8d94-b234de84b00a,,,,,,3,man,white,,fullemp,4,2,yes,no,yes,yes,3,,"work,social",,work,2,0,2,5,,,,"1,2,3,4",2,0,,yes,2,more,5,4,0,,,,"car,cyclist,intersection,pedestrian,bus",no,,,1,yes,,,,,,,6/1/2025 1:04:46 PM,,6/1/2025 1:04:46 PM,,,0,0
8,1ada6d3b-2c05-4f6b-8fd0-af204358388f,,,,,,3,man,white,,parted,4,0,yes,no,no,yes,96,,"multi-mode,shopping,social,leisure",,shopping,96,1,2,5,,,,"1,2",1,0,,yes,0,more,4,3,1,,,,"car,bus,intersection,pedestrian,cyclist",yes,pedestrians,,1,no,,,,,,,6/2/2025 10:20:03 AM,,6/2/2025 10:20:03 AM,,,0,0
9,aa0d8dec-36fe-4675-8978-1f8b689fdc0e,,,,,,4,woman,white,,fullemp,4,1,yes,no,no,no,,7,"work,other",I get the train to Heuston to work in Dublin then cycle out to my mother's house in Clontarf,other,3,2,3,5,,,,"1,2,3",2,0,,yes,1,yes,5,5,0,,,,"car,intersection,bus,cyclist,pedestrian",no,,,1,yes,The end of the cycleway at Connolly station is poorly designed you are dumped onto the street.,,,"The number of cyclists has increased. But so too has the average speed of cyclists, which might actually put some potential users off. We should be encouraging the cycling community to be more conscientious of children and older cyclists and people not on e-bikes. ",,,6/6/2025 9:43:23 AM,,6/6/2025 9:43:23 AM,,I think they are a good idea. But it might not be necessary - signage warnign pedestrians would be agood idea and signs telling cyclists to yield also,0,0
10,f717e9d3-bc73-4c6b-8390-e97cbc7ed1c0,,,,,,4,man,white,,fullemp,4,2,yes,yes,yes,yes,3,,"work,shopping,social",,work,2,2,3,5,,,,"1,2",2,1,,yes,3,yes,5,3,1,,,,"car,intersection,cyclist,pedestrian,bus",yes,other,Inbound bike lane is too narrow in places. The route is wonderful… but it needs to be widened especially from Alfie Byrne Road to End of Fairview Park,1,yes,It is fantastic ,0,1,A lot more bike traffic…. Which is welcome… but the in bound route will need widening in due course especially when passing a cargo bike it is too narrow in places,,,6/6/2025 10:41:44 AM,,6/6/2025 10:41:44 AM,,Not really,0,0
