"","Value","Std..Error","t.value","p_value","significance"
"-2|-1",-22.1273106380853,4.20727341608284,-5.25929942026131,1.44605265305595e-07,"highly significant"
"dem_ethnicity",-18.1055865197769,2.11593474936921,-8.55677923205072,1.16064495500516e-17,"highly significant"
"x_stress_source_intersection",19.7825476087488,2.85879044617303,6.91990125937039,4.51958554208938e-12,"highly significant"
"route_change",-0.875386395108585,0.343219322881815,-2.5505160599889,0.010756356816235,"significant"
"idx_leave_reason_people",5.6271584083236,2.4739643248297,2.27455115332391,0.0229328691829876,"significant"
"idx_gear",-4.43997189599208,4.03197036141781,-1.1011916006324,0.270813276547075,NA
"idx_2nd_purposes",-2.47804288550544,2.28729673856871,-1.08339370389523,0.27863370909671,NA
"-1|2",-1.33859357565333,6.32312260222231,-0.211698184561988,0.832342504512259,NA
"cycling_history",-0.612335962896691,0.54558816462134,-1.12234099381844,0.261717482534961,NA
"idx_leave_reason_infrastructure",-0.35986832832822,2.40393751867351,-0.149699534839323,0.881001675189117,NA
"dem_education",-0.327332185384991,1.28101778387145,-0.255525090678866,0.798317567094549,NA
"escort",-0.290678494488982,0.387144691180977,-0.750826502624311,0.452757077304324,NA
"cycling_frequ",-0.13201479128861,0.564019967217297,-0.234060492467901,0.814938016491052,NA
"x_purpose_leisure",0.133404526314767,0.758093405425637,0.175973732735304,0.860314578638833,NA
"dem_gender",0.235033133176877,0.795393735526369,0.295492814035478,0.767617440972434,NA
"dem_age",0.302311634984004,0.340430493652665,0.888027484671945,0.374525967202214,NA
"x_stress_source_car",0.365860115752955,1.44757596621559,0.252739838386117,0.800469260471598,NA
"x_stress_source_bus",0.414681271002514,1.87681748192598,0.220949173265889,0.825132008715742,NA
"x_purpose_work",0.542804502304805,0.912185752877738,0.595059175822885,0.551803916004628,NA
"leave_cycleway",0.963500288502007,0.732112700766255,1.31605460128416,0.188155717011805,NA
"x_stress_source_cyclist",2.35598911472725,1.9350112481404,1.21755835631003,0.223391847637391,NA
