"","Value","Std..Error","t.value","p_value","significance"
"x_purpose_other",-36.6166045483358,1.45389848607774e-10,-251851177361.898,0,"highly significant"
"dem_ethnicity",-7.98652295332231,2.79540607272181,-2.85701710075561,0.00427642797652595,"highly significant"
"cycling_history",-2.76040016283087,0.862733228584394,-3.19959875355705,0.00137619031839961,"highly significant"
"perception_safety_all",0.798081408379216,0.34332223768681,2.32458408099755,0.0200942108277926,"significant"
"dem_age",1.45511595201242,0.622840984329152,2.33625594433174,0.0194779061415976,"significant"
"x_leave_reason_roadquality",2.89880096872327,1.47473253536988,1.96564522664187,0.049339605957128,"significant"
"x_purpose_multi.mode",3.57844219236658,1.41525336818092,2.52848166471144,0.0114557069841849,"significant"
"idx_leave_reason_people",9.35104987809123,4.39789832926625,2.12625421917186,0.0334820977447449,"significant"
"idx_leave_reason_infrastructure",-9.55478503977914,6.10204177712904,-1.56583409107281,0.117387462939572,NA
"idx_gear",-8.53116654106022,5.08246651870669,-1.67854849799013,0.0932400710597616,NA
"0|1",-8.36959526475431,13.5334363191419,-0.618438293673887,0.536286461798829,NA
"1|2",-8.36938933120473,13.5334333802405,-0.61842321132082,0.536296401189707,NA
"2|3",-5.54846984318098,13.4757175428634,-0.411738360167648,0.680531205248388,NA
"x_stress_source_cyclist",-3.25909595584124,2.34760332987748,-1.38826517851776,0.165056311431624,NA
"x_stress_source_car",-3.23140091656027,1.78937395243419,-1.80588351147305,0.0709365371472505,NA
"idx_2nd_purposes",-2.01308114068781,3.08644805134444,-0.652232309502481,0.514251319901676,NA
"perception_stress_all",-1.69006183224249,0.952459421884534,-1.77441872421036,0.0759939149499234,NA
"dem_gender",-1.59711086203674,1.07382151400447,-1.48731501577095,0.136931630473184,NA
"x_purpose_leisure",-1.49962381398884,1.08072373338648,-1.38761069796231,0.165255622084965,NA
"cycling_frequ",-1.08403892972314,0.774522184268642,-1.39962282777835,0.161626294371911,NA
"leave_cycleway",-1.0663251407356,1.50386452440454,-0.709056649340017,0.478289323192959,NA
"escort",-0.7519686608446,0.482302571308195,-1.55912223068802,0.118967452941775,NA
"car_ownership",-0.459508653318172,0.534183162451498,-0.860208044015041,0.389674371309599,NA
"x_purpose_education",-0.158939998263583,1.85007634667409,-0.0859099672017925,0.931537988125774,NA
"perception_speed_all",0.337358284472836,0.397917855609593,0.847808862349285,0.396544426709029,NA
"x_stress_source_bus",0.802066256962632,2.10020768596114,0.381898543807859,0.702536620445525,NA
"x_stress_source_intersection",1.55660547694977,2.074002066596,0.75053226899845,0.452934196508037,NA
"x_leave_reason_trafficlight",1.64290965348876,1.48007834485998,1.11001533073858,0.266992420276198,NA
"x_purpose_work",2.08930952711853,1.25235191410979,1.66830864677815,0.0952544723180573,NA
"x_leave_reason_intersection",2.38234228089768,2.66636418802792,0.893479702283163,0.371600337218861,NA
"dem_education",3.08181884106353,3.14658567538915,0.979416789813738,0.327374084542026,NA
