"","PC1","PC2","PC3","PC4"
"car_ownership",0.10160203050817,0.0936474119906738,0.0328645946419993,0.00201733052065093
"bike_ownership",0.150245068044658,0.343786213385949,0.00548388480292183,-0.0789214947214854
"bikeshare_use",-0.184543114828588,-0.0349286690417952,-0.153339136856887,0.0547943591156701
"bike_to_work",0.145080368940324,0.209949603022277,0.0755605496976049,-0.0339354575150322
"dest_parking",0.115063466389064,0.0603960079886445,-0.0254617672856244,0.0917427098637917
"cycling_frequ",-0.11618333282652,0.261471419218178,-0.128045730836601,0.0435734906836775
"cycling_history",0.138805809595213,0.215052104829446,0.00293682972122168,-0.0312059820126129
"maintenance",0.188048724119685,0.307528831272658,0.039746562094483,-0.129173414081541
"escort",0.080531956020087,0.107053612522097,-0.113197998452988,0.133660471364824
"route_change",-0.0828863865817109,-0.00578642564748433,-0.0423241301794839,0.102841733374371
"leave_cycleway",-0.142899070954442,0.177282124333677,0.229980898960654,-0.0316613136322077
"perception_safety_all",0.0384960520776916,0.00596162956743013,-0.348346715071636,-0.105644776029363
"perception_speed_all",0.0511450967955054,-0.0515683383361972,-0.236676908390246,0.00461446300541025
"perception_stress_all",-0.0144599794877633,-0.0275950456263616,0.232764476399076,0.143993183186933
"purpose_dummy",-0.253079903460269,0.36158090610467,-0.0912195158587059,-0.0305374159933426
"safety_gear_dummy",0.316785031934379,0.0514042777409758,0.1799442742256,-0.0933629606816651
"x_purpose_work",0.0183659148931945,0.174474642725598,0.0197719570003219,0.415311982243433
"x_purpose_shopping",-0.085359234968215,0.30148617806849,-0.13199489582454,-0.133482025887357
"x_purpose_hobby",-0.118023484063089,0.274331042799336,-0.0787274786566107,-0.121779254980484
"x_purpose_social",-0.218786578751812,0.219307156992728,-0.141983370576793,0.0683593400449942
"x_purpose_leisure",-0.0928151183655428,0.0817515404393126,0.10695895381065,-0.299339098500104
"x_purpose_multi.mode",-0.184056918339128,0.0383062666742009,0.0197271097824005,0.00265829921917687
"x_purpose_education",-0.215300484385336,0.0456087837938584,-0.0641297614186576,0.0108860578825409
"x_safety_gear_2",0.244348517862224,0.290162688533071,-0.00120503208112513,0.0597458548894297
"x_safety_gear_0",-0.219378723934418,-0.178942665495248,-0.0378767831343186,-0.0695908901129737
"x_safety_gear_1",0.256316370029122,-0.0268137608959667,0.146656560081701,0.056274253504302
"x_safety_gear_4",0.122712346783608,0.00887961566170133,0.163954037628615,-0.152544106541084
"x_safety_gear_3",0.221189361561628,0.00287162587806536,0.0900285047162708,-0.105801008191668
"x_leave_reason_cyclists",-0.0749420318803947,0.0973888995577381,0.226578535842856,0.00783625853223595
"x_leave_reason_trafficlight",-0.0793703953698347,0.0747273311717426,0.112981071140598,-0.0857618911399331
"x_leave_reason_roadquality",-0.169562604062519,0.0593266644092523,0.167370109797026,-0.00700052413667615
"x_leave_reason_pedestrians",-0.181315593830769,0.00445992795260057,0.199515690181865,0.0252244825542152
"x_leave_reason_roadside",-0.20917991585546,-0.0344694096077672,0.22769628152105,-0.0681490320141954
"x_leave_reason_busstop",-0.218153439924463,0.0554346285648765,0.225452808509413,0.0786119284827169
"x_leave_reason_intersection",-0.175823267755973,0.0482598849721968,0.120296096082189,0.172923307214626
"x_stress_source_car",0.0243036239983683,-0.0659285032158611,-0.31198321681431,-0.208071832318337
"x_stress_source_intersection",-0.0211507966149435,0.0344300819056761,0.0805995522420129,0.215957202459578
"x_stress_source_cyclist",0.00281443304421086,-0.0296817055374212,0.277965456595616,-0.13763908328668
"x_stress_source_bus",-0.0281337827257002,0.0186109943652567,0.0563059066536346,0.175625655414037
"x_stress_source_pedestrian",0.0069136948494445,0.114944118245043,0.124414141662697,0.125797402843851
"x_primary_purpose_work",0.0957212882123275,0.0308249200006923,-0.0667607837340778,0.425399054159095
"x_primary_purpose_leisure",0.0112851450212428,-0.0714464948580831,0.134097503417511,-0.250279688034568
"x_primary_purpose_shopping",-0.0316787428340471,0.0174082335628867,0.0699026375273402,-0.0174592665984177
"x_primary_purpose_social",-0.138596771048344,0.0386555502450043,-0.00930695307217764,-0.229743223456754
"x_primary_purpose_education",-0.0480415729276556,-0.0429197117496733,-0.0911804833430199,0.0217973296844683
"x_primary_purpose_hobby",-0.00280355402257899,0.0516126876660359,-0.0190749174282138,-0.208529399310074
"x_primary_purpose_multi.mode",0.0534641228844535,-0.0753346857350327,0.0913932347941093,0.00526494207062582
"48",4.72318263264066,3.87262112542902,3.26880710756706,2.54666381849583
"variance explained",0.105247674005882,0.0874765983670687,0.0732890627549684,0.0576730177821962
