"","X","dem_age","dem_gender","dem_ethnicity","dem_employment","dem_education","car_ownership","bike_ownership","bikeshare_use","bike_to_work","dest_parking","cycling_frequ","cycling_history","cycle_frequ_history","maintenance","escort","use_cycleway","use_cycleway_frequ","route_change","perception_safety","perception_speed","perception_stress","perception_safety2","perception_speed2","perception_stress2","leave_cycleway","car_changes","walk_changes","perception_safety_all","perception_speed_all","perception_stress_all","purpose_dummy","safety_gear_dummy","x_purpose_work","x_purpose_shopping","x_purpose_hobby","x_purpose_social","x_purpose_leisure","x_purpose_multi-mode","x_purpose_other","x_purpose_education","x_safety_gear_2","x_safety_gear_0","x_safety_gear_1","x_safety_gear_4","x_safety_gear_3","x_leave_reason_NA","x_leave_reason_cyclists","x_leave_reason_trafficlight","x_leave_reason_roadquality","x_leave_reason_pedestrians","x_leave_reason_roadside","x_leave_reason_other","x_leave_reason_busstop","x_leave_reason_intersection","x_stress_source_car","x_stress_source_intersection","x_stress_source_cyclist","x_stress_source_bus","x_stress_source_pedestrian","x_primary_purpose_work","x_primary_purpose_leisure","x_primary_purpose_shopping","x_primary_purpose_other","x_primary_purpose_social","x_primary_purpose_education","x_primary_purpose_hobby","x_primary_purpose_multi-mode"
"1",1,5,1,1,2,4,2,1,1,1,2,3,5,NA,2,2,1,0,2,2,2,-2,NA,NA,NA,0,-1,-1,2,2,-2,5,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"2",2,4,1,1,NA,4,2,1,1,0,2,2,5,NA,2,0,1,2,2,2,-1,-2,NA,NA,NA,0,NA,NA,2,-1,-2,2,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"3",3,3,1,1,2,4,2,1,1,1,2,2,5,NA,2,2,1,2,0,2,-1,-1,NA,NA,NA,1,-1,-2,2,-1,-1,2,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"4",4,2,0,1,2,4,0,1,1,0,1,3,3,NA,0,0,1,0,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,4,3,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"5",5,3,0,1,2,4,2,1,0,1,2,3,5,NA,2,0,1,2,0,-1,-1,-1,NA,NA,NA,1,NA,-2,-1,-1,-1,5,3,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"6",6,5,1,1,2,4,3,1,0,0,2,2,5,NA,2,0,1,2,0,2,-1,-1,NA,NA,NA,0,-2,NA,2,-1,-1,2,4,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"7",7,3,1,1,2,4,2,1,0,1,0,2,5,NA,2,0,1,2,2,2,-1,-2,NA,NA,NA,0,NA,NA,2,-1,-2,2,4,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"8",8,3,1,1,1,4,0,1,0,0,1,2,5,NA,2,0,1,0,2,-1,-2,-1,NA,NA,NA,1,NA,NA,-1,-2,-1,4,2,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"9",9,4,0,1,2,4,1,1,0,0,2,3,5,NA,2,0,1,1,0,2,2,-2,NA,NA,NA,0,NA,NA,2,2,-2,2,3,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"10",10,4,1,1,2,4,2,1,1,1,2,3,5,NA,2,2,1,3,0,2,-2,-1,NA,NA,NA,1,-2,-1,2,-2,-1,3,2,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"11",11,3,0,1,2,4,2,1,1,0,2,3,5,NA,2,2,1,1,0,-1,-2,-2,NA,NA,NA,0,-1,-2,-1,-2,-2,2,2,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"12",12,2,1,1,2,4,3,1,1,1,1,3,5,NA,2,0,1,2,0,2,-2,-2,NA,NA,NA,1,-2,2,2,-2,-2,5,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"13",13,4,1,1,2,4,3,1,1,1,2,2,5,NA,2,2,1,0,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,3,3,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
