"","Value","Std..Error","t.value","p_value","significance"
"0|1",-140.59262768704,1.1345303917852,-123.921429258334,0,"highly significant"
"1|2",-132.423386833089,17.8932497473386,-7.40074546004619,1.35422095583375e-13,"highly significant"
"2|3",-129.435254382294,17.8987530080521,-7.23152357731655,4.77605154538268e-13,"highly significant"
"dem_education",-31.9290140829169,4.53812161607254,-7.03573345629054,1.98215533785771e-12,"highly significant"
"dem_gender",-1.86633852390604,0.91302124874788,-2.04413481774443,0.0409402303448561,"significant"
"idx_2nd_purposes",5.18893938057381,2.34312151606894,2.21454130525817,0.0267915645706899,"significant"
"idx_gear",-3.92146443950018,3.27720083402959,-1.19658960133927,0.231466555544149,NA
"x_purpose_other",-3.0172387479289,1.84128227424961,-1.63866170338198,0.101283734018243,NA
"dem_ethnicity",-1.16163830354414,1.5469487447868,-0.750922296203316,0.452699421084917,NA
"x_purpose_education",-0.641205307749371,1.26746711995722,-0.50589502295808,0.612930346429284,NA
"dem_employment",-0.475617991166025,0.783126355421769,-0.607332377301835,0.543630355611507,NA
"cycling_history",-0.401271865083831,0.377772118406797,-1.06220614368297,0.288142111378119,NA
"route_change",-0.385037049705695,0.277414423469155,-1.38794892093455,0.165152599564338,NA
"car_ownership",-0.191474949168811,0.316275472517505,-0.605405622018992,0.544909516433599,NA
"perception_stress_all",-0.118573911927799,0.413850165641012,-0.286514110110698,0.774484387948873,NA
"x_purpose_leisure",0.0218488614775691,0.797748194496455,0.0273881678809192,0.978150135373277,NA
"perception_safety_all",0.185973427601435,0.230784569824672,0.805831289945944,0.420340133652971,NA
"escort",0.34225171988303,0.369449677519293,0.926382510822891,0.354247229709167,NA
"x_purpose_multi.mode",0.416910382935715,0.948954143783364,0.439336701005956,0.660417584803024,NA
"perception_speed_all",0.419942190815418,0.328822343714947,1.2771096576681,0.201563535729556,NA
"dem_age",0.537440135253632,0.366506697708986,1.46638557661604,0.142543273462616,NA
"x_purpose_work",1.44515406937353,0.771502750873623,1.87316774663096,0.0610452246429112,NA
"idx_leave_reason_people",1.99697443870807,1.95295387916926,1.02254050134432,0.306525153699878,NA
"idx_leave_reason_infrastructure",2.36626013851012,2.06004458513124,1.14864510971706,0.250702348177382,NA
