"","Value","Std..Error","t.value","p_value","significance"
"x_stress_source_intersection",-2.53364022143389,1.4604581018526,-1.73482568121601,0.082771685962456,NA
"x_stress_source_bus",-1.96519490610621,1.48203302522014,-1.32601289759673,0.184835425291516,NA
"x_stress_source_cyclist",-1.51431013128404,1.43575349422829,-1.05471457138816,0.291555885497775,NA
"idx_leave_reason_people",-1.49076446686037,1.85172516720726,-0.805067886563707,0.420780506034222,NA
"x_purpose_leisure",-1.15078976724562,0.652450887807681,-1.76379523539683,0.077766459981202,NA
"idx_gear",-0.822866974084548,2.97272917916913,-0.276805226608143,0.781929667679319,NA
"idx_leave_reason_infrastructure",-0.636847524916704,1.94998526868956,-0.326590941553462,0.743977295767358,NA
"leave_cycleway",-0.594636278933605,0.602009252021103,-0.987752724625501,0.323273765726167,NA
"dem_gender",-0.560725532815197,0.740096663443779,-0.757638239045773,0.448667581660383,NA
"x_stress_source_car",-0.544547037718757,1.13612410983212,-0.479302422161625,0.631723499270445,NA
"cycling_history",-0.238456245960599,0.36877172671099,-0.646622907041566,0.517876028798316,NA
"dem_age",-0.0592916996970652,0.284503225934079,-0.208404314230179,0.834913288015618,NA
"escort",0.187852978513174,0.319818037953163,0.58737455746847,0.556952177427076,NA
"route_change",0.248679747812976,0.23383911135829,1.06346515930754,0.287571057085156,NA
"x_purpose_work",0.312579136913317,0.710338142690672,0.44004273194356,0.659906158157439,NA
"cycling_frequ",0.380677641664972,0.47230037466236,0.806007494567652,0.420238527757825,NA
"idx_2nd_purposes",0.526029309981,2.01884603817656,0.260559398801958,0.794432303367732,NA
"dem_education",1.58267831801947,1.28139885828361,1.23511762773022,0.2167867297769,NA
"dem_ethnicity",1.58838656489766,1.49780102985576,1.06047901773083,0.288926730678849,NA
"-2|-1",4.77779854188921,5.76877638735338,0.828216977236864,0.407547630831646,NA
"-1|2",7.95686688992511,5.82846634574097,1.36517334371149,0.172198574346453,NA
