"","PC1","PC2","PC3","PC4"
"car_ownership",0.139484080497035,-0.00948378635188413,0.00722634974360566,0.0253779394616223
"bike_ownership",0.346384647191593,0.149219295648104,-0.0130908823315847,-0.00527328414709774
"bikeshare_use",-0.193560817910098,0.139557045986374,-0.0694538969503759,0.0448351540700607
"bike_to_work",0.26088632061176,0.0325499220822852,0.0410083356824376,0.00682736150083562
"dest_parking",0.100305315751822,-0.0273034248755651,-0.0404017316072789,0.118847886362273
"cycling_frequ",0.0552677943536855,0.296335651946106,-0.0308080305630938,0.0823304685014518
"cycling_history",0.245341462614453,0.0641689512367833,-0.021600294768681,0.0211649661772403
"maintenance",0.365216253101506,0.0916893971548811,-0.00888279020394326,-0.05871473641707
"escort",0.0818277741298447,0.0538313751711656,-0.0943003967449161,0.175021653292365
"route_change",-0.0892958427960469,0.0559089737745977,0.00732073088223957,0.0926172368944614
"leave_cycleway",0.0632567605855541,0.139225493577275,0.279800006895496,-0.0651272052956763
"perception_safety_all",-0.0165882926004998,0.102859756690674,-0.347080676962277,-0.0378469797429675
"perception_speed_all",-0.0432640001374068,0.0104817513331089,-0.239905420478841,0.0439023670863487
"perception_stress_all",-0.00930931463244514,-0.0968939425454973,0.236749214150953,0.0944541449094969
"purpose_dummy",0.0430521738075593,0.444898381534426,0.0533135046112633,-0.00198329535575858
"safety_gear_dummy",0.310616508308015,-0.217772028976025,0.0424277529208605,-0.0638084459739643
"x_purpose_work",0.0568444132513941,0.0783411220593214,0.105007204835885,0.424794819922552
"x_purpose_shopping",0.134045355501997,0.317219424693016,-0.0691159129611135,-0.0773713049697954
"x_purpose_hobby",0.101157173431846,0.300244405461376,-0.0109440974968398,-0.08369876260303
"x_purpose_social",-0.0525081594369538,0.334522598453418,-0.00874869301947697,0.0868297590435457
"x_purpose_leisure",0.0607177175999035,0.098448785066512,0.0921896409566658,-0.30889528746684
"x_purpose_multi.mode",-0.103068970154124,0.135936915582619,0.0893959756763351,-0.0234525214752047
"x_purpose_education",-0.138125936050797,0.188228187238571,0.0266995701106468,-0.00547905089993818
"x_safety_gear_2",0.352667959962193,0.0460892344018243,-0.037279238392887,0.136370360725696
"x_safety_gear_0",-0.268086029743709,0.0297458093095267,0.00693272597183328,-0.119850568385923
"x_safety_gear_1",0.183520881461905,-0.232611483530684,0.0475035381687776,0.065620663823605
"x_safety_gear_4",0.15185575632603,-0.116379248561339,0.081240046539535,-0.154011013412662
"x_safety_gear_3",0.195751907115158,-0.160769620326927,-0.014157074984656,-0.0825396258674635
"x_leave_reason_cyclists",0.0520046647481945,0.039191191368861,0.247749015098593,-0.0273875446442428
"x_leave_reason_trafficlight",0.028944705363288,0.0698499787400616,0.127324817646131,-0.102856939453384
"x_leave_reason_roadquality",-0.049031914405529,0.0928007631561972,0.21981280112942,-0.0518489473848975
"x_leave_reason_pedestrians",-0.0927523784334611,0.0490436923535745,0.25081976523553,-0.0356350549980346
"x_leave_reason_roadside",-0.116028061365117,0.035679569434993,0.265372753977017,-0.140100642502559
"x_leave_reason_busstop",-0.0903291796770538,0.0959647379841176,0.303592560141966,0.0131632324294348
"x_leave_reason_intersection",-0.101692184586971,0.0935964560144749,0.207548213811072,0.126875797575039
"x_stress_source_car",-0.0484176462800761,0.0556322109037629,-0.336122449318972,-0.154965247087235
"x_stress_source_intersection",-0.0155788201046523,-0.00285442757695746,0.121515010194817,0.196642396657103
"x_stress_source_cyclist",0.0603461079255167,-0.106920561284377,0.224646750714409,-0.182222075866757
"x_stress_source_bus",-0.0283613467292219,0.00107360268538286,0.0929909936422861,0.158432225522374
"x_stress_source_pedestrian",0.0813394499012342,0.0267975448942304,0.147754998765788,0.118199966164459
"x_primary_purpose_work",4.33815875956478e-05,-0.0426650593985361,-0.0198543973419958,0.440249090640547
"x_primary_purpose_leisure",0.0316242362503913,-0.0864688816555191,0.0662472063883678,-0.271807633388364
"x_primary_purpose_shopping",0.00523030430583585,0.00985719309972492,0.074400087885735,-0.030719854214743
"x_primary_purpose_social",-0.0346749293565861,0.131632194718274,0.00827705071951469,-0.235780497008047
"x_primary_purpose_education",-0.0835948458493668,0.0293031916691689,-0.0682107361258757,0.0225732089772409
"x_primary_purpose_hobby",0.0650352075544688,0.0571744308446674,-0.0436558299968808,-0.191074880340854
"x_primary_purpose_multi.mode",0.00561320655882969,-0.117274572542424,0.0542527576096504,-0.0124373682755149
"48",1.00341960910467,1.0002799321465,1.00256520819078,0.999668286428107
"variance explained",2.13493533852058,2.12825517477978,2.1331174642357,2.12695380091087
